Referencia;Modelo;PVP
A2121231G;SWAP S 7W DIM DALI/PUSH 3000K G;97,12
A2121231N;SWAP S 7W DIM DALI/PUSH 3000K N;97,12
A2121231R;SWAP S 7W DIM DALI/PUSH 3000K R;97,12
A2121231W;SWAP S 7W DIM DALI/PUSH 3000K W;92
A2121231WN;SWAP S 7W DIM DALI/PUSH 3000K WN;97,12
A2121231Z;SWAP S 7W DIM DALI/PUSH 3000K Z;97,12
A2121232G;SWAP S 7W DIM DALI/PUSH 4000K G;97,12
A2121232N;SWAP S 7W DIM DALI/PUSH 4000K N;97,12
A2121232R;SWAP S 7W DIM DALI/PUSH 4000K R;97,12
A2121232W;SWAP S 7W DIM DALI/PUSH 4000K W;92
A2121232WN;SWAP S 7W DIM DALI/PUSH 4000K WN;97,12
A2121232Z;SWAP S 7W DIM DALI/PUSH 4000K Z;97,12
A3121210G;SWAP S SUPERCRI 7W 2700K G;53,67
A3121210N;SWAP S SUPERCRI 7W 2700K N;53,67
A3121210R;SWAP S SUPERCRI 7W 2700K R;53,67
A3121210W;SWAP S SUPERCRI 7W 2700K W;48,56
A3121210WN;SWAP S SUPERCRI 7W 2700K WN;53,67
A3121210Z;SWAP S SUPERCRI 7W 2700K Z;53,67
A3121211G;SWAP S SUPERCRI 7W 3000K G;53,67
A3121211N;SWAP S SUPERCRI 7W 3000K N;53,67
A3121211R;SWAP S SUPERCRI 7W 3000K R;53,67
A3121211W;SWAP S SUPERCRI 7W 3000K W;48,56
A3121211WN;SWAP S SUPERCRI 7W 3000K WN;53,67
A3121211Z;SWAP S SUPERCRI 7W 3000K Z;53,67
A3121212G;SWAP S SUPERCRI 7W 4000K G;53,67
A3121212N;SWAP S SUPERCRI 7W 4000K N;53,67
A3121212R;SWAP S SUPERCRI 7W 4000K R;53,67
A3121212W;SWAP S SUPERCRI 7W 4000K W;48,56
A3121212WN;SWAP S SUPERCRI 7W 4000K WN;53,67
A3121212Z;SWAP S SUPERCRI 7W 4000K Z;53,67
A3121220G;SWAP S SUPERCRI 7W DIM PH.CUT 2700K G;63,89
A3121220N;SWAP S SUPERCRI 7W DIM PH.CUT 2700K N;63,89
A3121220R;SWAP S SUPERCRI 7W DIM PH.CUT 2700K R;63,89
A3121220W;SWAP S SUPERCRI 7W DIM PH.CUT 2700K W;58,78
A3121220WN;SWAP S SUPERCRI 7W DIM PH.CUT 2700K WN;63,89
A3121220Z;SWAP S SUPERCRI 7W DIM PH.CUT 2700K Z;63,89
A3121221G;SWAP S SUPERCRI 7W DIM PH.CUT 3000K G;63,89
A3121221N;SWAP S SUPERCRI 7W DIM PH.CUT 3000K N;63,89
A3121221R;SWAP S SUPERCRI 7W DIM PH.CUT 3000K R;63,89
A3121221W;SWAP S SUPERCRI 7W DIM PH.CUT 3000K W;58,78
A3121221WN;SWAP S SUPERCRI 7W DIM PH.CUT 3000K WN;63,89
A3121221Z;SWAP S SUPERCRI 7W DIM PH.CUT 3000K Z;63,89
A3121222G;SWAP S SUPERCRI 7W DIM PH.CUT 4000K G;63,89
A3121222N;SWAP S SUPERCRI 7W DIM PH.CUT 4000K N;63,89
A3121222R;SWAP S SUPERCRI 7W DIM PH.CUT 4000K R;63,89
A3121222W;SWAP S SUPERCRI 7W DIM PH.CUT 4000K W;58,78
A3121222WN;SWAP S SUPERCRI 7W DIM PH.CUT 4000K WN;63,89
A3121222Z;SWAP S SUPERCRI 7W DIM PH.CUT 4000K Z;63,89
A3121230G;SWAP S SUPERCRI 7W DIM DALI/PUSH 2700K G;97,12
A3121230N;SWAP S SUPERCRI 7W DIM DALI/PUSH 2700K N;97,12
A3121230R;SWAP S SUPERCRI 7W DIM DALI/PUSH 2700K R;97,12
A3121230W;SWAP S SUPERCRI 7W DIM DALI/PUSH 2700K W;92
A3121230WN;SWAP S SUPERCRI 7W DIM DALI/PUSH 2700K WN;97,12
A3121230Z;SWAP S SUPERCRI 7W DIM DALI/PUSH 2700K Z;97,12
A3121231G;SWAP S SUPERCRI 7W DIM DALI/PUSH 3000K G;97,12
A3121231N;SWAP S SUPERCRI 7W DIM DALI/PUSH 3000K N;97,12
A3121231R;SWAP S SUPERCRI 7W DIM DALI/PUSH 3000K R;97,12
A3121231W;SWAP S SUPERCRI 7W DIM DALI/PUSH 3000K W;92
A3121231WN;SWAP S SUPERCRI 7W DIM DALI/PUSH 3000K WN;97,12
A3121231Z;SWAP S SUPERCRI 7W DIM DALI/PUSH 3000K Z;97,12
A3121232G;SWAP S SUPERCRI 7W DIM DALI/PUSH 4000K G;97,12
A3121232N;SWAP S SUPERCRI 7W DIM DALI/PUSH 4000K N;97,12
A3121232R;SWAP S SUPERCRI 7W DIM DALI/PUSH 4000K R;97,12
A3121232W;SWAP S SUPERCRI 7W DIM DALI/PUSH 4000K W;92
A3121232WN;SWAP S SUPERCRI 7W DIM DALI/PUSH 4000K WN;97,12
A3121232Z;SWAP S SUPERCRI 7W DIM DALI/PUSH 4000K Z;97,12
A2121110W54;SWAP IP54 S 5W 2700K W;49,83
A2121111W54;SWAP IP54 S 5W 3000K W;49,83
A2121112W54;SWAP IP54 S 5W 4000K W;49,83
A2121210W54;SWAP IP54 S 7W 2700K W;58,78
A2121211W54;SWAP IP54 S 7W 3000K W;58,78
A2121212W54;SWAP IP54 S 7W 4000K W;58,78
A2121220W54;SWAP IP54 S 7W DIM PH.CUT 2700K W;69
A2121221W54;SWAP IP54 S 7W DIM PH.CUT 3000K W;69
A2121222W54;SWAP IP54 S 7W DIM PH.CUT 4000K W;69
A2121230W54;SWAP IP54 S 7W DIM DALI/PUSH 2700K W;102,23
A2121231W54;SWAP IP54 S 7W DIM DALI/PUSH 3000K W;102,23
A2121232W54;SWAP IP54 S 7W DIM DALI/PUSH 4000K W;102,23
A3121210W54;SWAP IP54 S SUPERCRI 7W 2700K W;58,78
A3121211W54;SWAP IP54 S SUPERCRI 7W 3000K W;58,78
A3121212W54;SWAP IP54 S SUPERCRI 7W 4000K W;58,78
A3121220W54;SWAP IP54 S SUPERCRI 7W DIM PH.CUT 2700K W;69
A3121221W54;SWAP IP54 S SUPERCRI 7W DIM PH.CUT 3000K W;69
A3121222W54;SWAP IP54 S SUPERCRI 7W DIM PH.CUT 4000K W;69
A3121230W54;SWAP IP54 S SUPERCRI 7W DIM DALI/PUSH 2700K W;102,23
A3121231W54;SWAP IP54 S SUPERCRI 7W DIM DALI/PUSH 3000K W;102,23
A3121232W54;SWAP IP54 S SUPERCRI 7W DIM DALI/PUSH 4000K W;102,23
A4121110G;SWAP S RT 2012 150mA 5W 2700K G;54,95
A4121110N;SWAP S RT 2012 150mA 5W 2700K N;54,95
A4121110R;SWAP S RT 2012 150mA 5W 2700K R;54,95
A4121110W;SWAP S RT 2012 150mA 5W 2700K W;49,83
A4121110WN;SWAP S RT 2012 150mA 5W 2700K WN;54,95
A4121110Z;SWAP S RT 2012 150mA 5W 2700K Z;54,95
A4121111G;SWAP S RT 2012 150mA 5W 3000K G;54,95
A4121111N;SWAP S RT 2012 150mA 5W 3000K N;54,95
A4121111R;SWAP S RT 2012 150mA 5W 3000K R;54,95
A4121111W;SWAP S RT 2012 150mA 5W 3000K W;49,83
A4121111WN;SWAP S RT 2012 150mA 5W 3000K WN;54,95
A4121111Z;SWAP S RT 2012 150mA 5W 3000K Z;54,95
A4121112G;SWAP S RT 2012 150mA 5W 4000K G;54,95
A4121112N;SWAP S RT 2012 150mA 5W 4000K N;54,95
A4121112R;SWAP S RT 2012 150mA 5W 4000K R;54,95
A4121112W;SWAP S RT 2012 150mA 5W 4000K W;49,83
A4121112WN;SWAP S RT 2012 150mA 5W 4000K WN;54,95
A4121112Z;SWAP S RT 2012 150mA 5W 4000K Z;54,95
A4121210G;SWAP S RT 2012 200mA 7W 2700K G;63,89
A4121210N;SWAP S RT 2012 200mA 7W 2700K N;63,89
A4121210R;SWAP S RT 2012 200mA 7W 2700K R;63,89
A4121210W;SWAP S RT 2012 200mA 7W 2700K W;58,78
A4121210WN;SWAP S RT 2012 200mA 7W 2700K WN;63,89
A4121210Z;SWAP S RT 2012 200mA 7W 2700K Z;63,89
A4121211G;SWAP S RT 2012 200mA 7W 3000K G;63,89
A4121211N;SWAP S RT 2012 200mA 7W 3000K N;63,89
A4121211R;SWAP S RT 2012 200mA 7W 3000K R;63,89
A4121211W;SWAP S RT 2012 200mA 7W 3000K W;58,78
A4121211WN;SWAP S RT 2012 200mA 7W 3000K WN;63,89
A4121211Z;SWAP S RT 2012 200mA 7W 3000K Z;63,89
A4121212G;SWAP S RT 2012 200mA 7W 4000K G;63,89
A4121212N;SWAP S RT 2012 200mA 7W 4000K N;63,89
A4121212R;SWAP S RT 2012 200mA 7W 4000K R;63,89
A4121212W;SWAP S RT 2012 200mA 7W 4000K W;58,78
A4121212WN;SWAP S RT 2012 200mA 7W 4000K WN;63,89
A4121212Z;SWAP S RT 2012 200mA 7W 4000K Z;63,89
A2121339G;SWAP S 6W DALI/PUSH DIM TO WARM G;107,34
A2121339N;SWAP S 6W DALI/PUSH DIM TO WARM N;107,34
A2121339R;SWAP S 6W DALI/PUSH DIM TO WARM R;107,34
A2121339W;SWAP S 6W DALI/PUSH DIM TO WARM W;102,23
